Density (⟨k⟩),Degree Variance,Average Neighbor Degree (⟨kn⟩),Neighbor Degree Variance,Average Clustering Coefficient (⟨C⟩),Clustering Coefficient Variance,Degree Correlation (r),Number of Modules (μ),Average Node Betweenness (⟨wn⟩),Node Betweenness Variance,Average Edge Betweenness (⟨we⟩),Edge Betweenness Variance,Average Closeness (⟨cl⟩),Closeness Variance,Average Path Length (⟨l⟩),Diameter (d),Distance Distribution Mean (⟨dd⟩),Distance Distribution Variance,3-loops (l3),4-Cliques (c4),4-Stars (s4),Graph Energy (G),Average EigenCentrality (⟨eC⟩),EigenCentrality Variance,Algebraic Connectivity (a),Degree Correlation Elasticity (|rmax - rmin|),Rich Club Metric (⟨rc⟩),Rich Club Variance,s-metric/smax,s-metric Elasticity (|smax - smin|),graph_structure,graph_id,node_count,TSNE1,TSNE2,Cluster,DistanceToCentroid,PC1,PC2,PC3
0.222222,0.00740741,0.266667,0.00358025,0,0,-0.372549,0.3,0.213889,0.0274769,0.271111,0.00699259,0.385835,0.00594585,0.301235,0.666667,0.271111,0.0302025,0,0,0.0142857,0.374465,0.286526,0.0179027,0.198062,0.980392,0.875,0.03125,0.927273,0.0909091,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",5387,10,-63.3534,8.5625,1,5.40181,-5.96569,-0.726254,-2.4072
0.222222,0.00987654,0.277778,0.00363512,0.1,0.0233333,-0.25,0.3,0.230556,0.0450694,0.284444,0.0157827,0.368728,0.00641068,0.316049,0.666667,0.284444,0.0326716,0.00833333,0,0.0190476,0.369671,0.264916,0.0298195,0.168558,0.9375,1.00249,0.000633664,0.933333,0.1,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",5388,10,-60.2373,0.77074,1,12.1298,-7.36159,-1.38594,-1.777
0.444444,0.0567901,0.638624,0.0158859,0.694286,0.115292,-0.547389,0.2,0.075,0.0119976,0.08,0.00115007,0.646446,0.0142385,0.177778,0.333333,0.16,0.00649877,0.125,0.0190476,0.538095,0.468473,0.292864,0.0142309,0.937955,0.0386847,1,7.39557e-32,0.99389,0.00610998,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",5389,10,21.202,21.4467,2,13.3602,1.75248,-0.890421,6.3597
0.222222,0.0197531,0.348148,0.0148697,0.143333,0.0915667,-0.388889,0.3,0.175,0.0663657,0.24,0.0157827,0.436465,0.00953358,0.266667,0.555556,0.24,0.0184494,0.00833333,0,0.0571429,0.356469,0.271877,0.0260828,0.239812,0.555556,0.962289,0.00073453,0.921053,0.157895,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5390,10,-40.5049,-19.3597,6,5.32193,-6.15397,-2.2338,1.80987
0.222222,0.0123457,0.302778,0.00713392,0,0,-0.52381,0.3,0.216667,0.0440664,0.273333,0.00657284,0.383275,0.00652968,0.303704,0.666667,0.273333,0.0312148,0,0,0.0285714,0.354701,0.282789,0.0200303,0.212357,1.04762,0.839374,0.04051,0.876923,0.169231,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",5391,10,-70.909,9.50239,1,11.298,-6.78943,-1.74733,-1.36101
0.377778,0.00790123,0.40037,0.00198546,0.336667,0.0267667,-0.169312,0.2,0.0972222,0.00518047,0.104575,0.00107969,0.569399,0.00390835,0.197531,0.333333,0.177778,0.00888889,0.0416667,0,0.128571,0.492313,0.306102,0.00630155,0.937262,0.719577,0.968447,0.00298685,0.9819,0.0361991,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",5392,10,16.6094,-32.7209,0,21.7195,0.41733,1.61628,-1.68922
0.377778,0.0153086,0.413333,0.00351221,0.343333,0.0473444,0.048,0.3,0.1,0.00729698,0.105882,0.00162366,0.56613,0.0062684,0.2,0.333333,0.18,0.0093284,0.05,0,0.166667,0.487804,0.291837,0.0148312,0.883973,0.589333,1.11374,0.0130071,1,0.053719,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",5393,10,-20.0759,45.5535,5,16.0473,-0.404021,1.65927,-0.333917
0.222222,0.0123457,0.296296,0.00679012,0,0,-0.333333,0.4,0.202778,0.0446065,0.262222,0.00837531,0.40036,0.00762159,0.291358,0.666667,0.262222,0.0260543,0,0,0.0285714,0.363538,0.278992,0.0221634,0.220069,1.14286,0.992297,0.00144262,0.880597,0.179104,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",5394,10,-68.7458,12.2348,1,8.63746,-6.8493,-0.981953,-0.991201
0.222222,0.00740741,0.262963,0.00259259,0,0,-0.176471,0.3,0.2,0.0402469,0.26,0.0116593,0.402,0.0069969,0.288889,0.555556,0.26,0.0244988,0,0,0.0142857,0.390093,0.286615,0.0178517,0.215355,1.17647,1.06352,0.00932795,0.945455,0.109091,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",5395,10,-62.6405,5.47094,1,7.84061,-5.83246,-0.0557265,-2.15646
0.488889,0.0325926,0.564868,0.00306185,0.560952,0.0735637,-0.166667,0.2,0.0722222,0.00563485,0.0717172,0.000805244,0.649103,0.0100482,0.175309,0.333333,0.157778,0.00695802,0.133333,0.0190476,0.495238,0.516688,0.298362,0.0109802,1.41098,0.479167,1.0404,0.00252023,0.983666,0.0417423,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",5396,10,27.3935,8.20314,2,8.15273,2.02728,0.750223,1.98784
0.222222,0.00740741,0.274074,0.00355281,0,0,-0.568627,0.2,0.211111,0.0504938,0.268889,0.0185136,0.386172,0.0057654,0.298765,0.555556,0.268889,0.0276988,0,0,0.0142857,0.370973,0.289952,0.015928,0.178821,0.980392,0.854993,0.03567,0.909091,0.0909091,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",5397,10,-68.991,-0.300908,1,15.897,-5.99568,-1.68691,-2.3061
0.222222,0.00987654,0.288889,0.00406036,0.166667,0.0944444,-0.5625,0.3,0.230556,0.063588,0.284444,0.0260543,0.366253,0.0056037,0.316049,0.666667,0.284444,0.0326716,0.00833333,0,0.0190476,0.363974,0.267166,0.0286224,0.155266,0.9375,0.853204,0.0294924,0.9,0.1,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",5398,10,-55.9515,-16.1293,6,11.6993,-7.95721,-2.73564,-1.45619
0.222222,0.0123457,0.296296,0.00493827,0.216667,0.155833,-0.333333,0.3,0.2,0.0711111,0.26,0.0243012,0.400606,0.0070753,0.288889,0.555556,0.26,0.0235111,0.00833333,0,0.0285714,0.38619,0.272498,0.0257447,0.188104,1.04762,0.984127,0.000503905,0.880597,0.164179,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5399,10,-49.4435,-17.5345,6,5.53093,-7.21866,-1.9409,-0.223238
0.222222,0.017284,0.331481,0.00764403,0,0,-0.390728,0.3,0.169444,0.0477546,0.235556,0.00535309,0.443203,0.00921263,0.261728,0.444444,0.235556,0.0166123,0,0,0.0428571,0.355398,0.283842,0.0194337,0.341384,0.860927,0.991969,0.0104799,0.905405,0.175676,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5400,10,-70.8906,13.3686,1,10.7668,-5.05402,-0.842468,0.353393
0.222222,0.00740741,0.262963,0.00231824,0.233333,0.156667,-0.176471,0.3,0.227778,0.0649383,0.282222,0.0257827,0.370261,0.00618695,0.31358,0.666667,0.282222,0.0312148,0.00833333,0,0.0142857,0.388123,0.274348,0.0247331,0.161405,1.37255,1.20563,0.0865293,0.928571,0.125,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",5401,10,-53.2895,-11.056,6,10.1012,-8.23358,-1.24785,-1.85523
0.422222,0.0167901,0.465,0.00247356,0.34,0.0837333,-0.0555556,0.3,0.0777778,0.00331919,0.0853801,0.000504619,0.624533,0.00500087,0.180247,0.333333,0.162222,0.00652346,0.0583333,0.0047619,0.247619,0.511246,0.300465,0.00972089,1.44055,0.640873,1.09548,0.0165525,0.98494,0.0512048,"[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",5402,10,-3.34803,46.8393,5,2.822,0.778691,1.87541,-0.306942
0.222222,0.00740741,0.274074,0.00293553,0,0,-0.568627,0.2,0.247222,0.0562423,0.297778,0.0250074,0.348706,0.00459063,0.330864,0.666667,0.297778,0.0387358,0,0,0.0142857,0.363821,0.274028,0.0249087,0.139595,0.980392,0.885744,0.0240123,0.909091,0.0909091,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",5403,10,-67.1136,-3.50358,1,17.8268,-7.81315,-2.52807,-2.81841
0.222222,0.017284,0.347407,0.0173794,0,0,-0.563981,0.4,0.166667,0.0455247,0.233333,0.00555556,0.446188,0.00827223,0.259259,0.555556,0.233333,0.0174074,0,0,0.052381,0.356902,0.288444,0.0168001,0.317734,0.56872,0.664825,0.221001,0.871429,0.171429,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5404,10,-29.5747,-46.5079,3,15.2668,-5.44604,-2.51495,0.413901
0.666667,0.0123457,0.69172,0.00200347,0.643333,0.00719932,-0.336788,0.2,0.0416667,0.00073924,0.0444444,6.90444e-05,0.755559,0.00448021,0.148148,0.222222,0.133333,0.00444444,0.266667,0.0285714,1.07619,0.563665,0.313676,0.00160736,3.74892,0.248705,0.943581,0.0106268,0.99297,0.00702988,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0]",5405,10,59.7483,20.4044,8,4.63059,5.41297,0.313615,-0.887045
0.222222,0.0123457,0.3,0.00718793,0,0,-0.428571,0.2,0.202778,0.0521296,0.262222,0.0108938,0.399615,0.00743823,0.291358,0.666667,0.262222,0.0260543,0,0,0.0285714,0.357295,0.282866,0.0199869,0.219564,0.857143,0.827921,0.0457846,0.892308,0.138462,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",5406,10,-70.1501,0.908244,1,15.6246,-6.15974,-1.94229,-1.15844
0.222222,0.0123457,0.289815,0.00555641,0.0833333,0.0180556,-0.142857,0.2,0.222222,0.05,0.277778,0.016716,0.378582,0.00695846,0.308642,0.666667,0.277778,0.0317284,0.00833333,0,0.0285714,0.386023,0.260991,0.0318836,0.165479,1.14286,1.16968,0.0633227,0.924242,0.181818,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",5407,10,-63.83,-2.4202,1,15.7598,-7.7821,-1.45571,-1.38544
0.222222,0.017284,0.337963,0.0100694,0.15,0.0913889,-0.456954,0.3,0.186111,0.0638966,0.248889,0.017363,0.420697,0.00845661,0.276543,0.555556,0.248889,0.0215111,0.00833333,0,0.0428571,0.353492,0.276824,0.0233686,0.222865,0.728477,0.991665,0.0121086,0.891892,0.148649,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]",5408,10,-44.3691,-16.7294,6,1.14121,-6.32662,-2.04972,0.769296
0.444444,0.0345679,0.519259,0.00279643,0.406667,0.0668444,0.0070922,0.2,0.0944444,0.00787551,0.0877778,0.00249122,0.593377,0.0117499,0.195062,0.444444,0.175556,0.0104148,0.108333,0.0142857,0.361905,0.485986,0.288355,0.0168514,0.70342,0.460993,1.05185,0.00603567,1,0.0294118,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5409,10,6.93624,6.27124,2,12.4597,0.43346,0.698159,2.0752
0.444444,0.017284,0.490185,0.00239784,0.483333,0.0845,-0.176471,0.2,0.0861111,0.00313042,0.0844444,0.000545117,0.605604,0.00690743,0.187654,0.444444,0.168889,0.00900741,0.075,0,0.280952,0.495963,0.303022,0.00817753,1.17197,0.613811,0.999448,0.000156773,0.981675,0.0314136,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",5410,10,15.3584,-17.9531,0,13.9977,0.889923,1.10835,-0.00877986
0.244444,0.00938272,0.303704,0.00454047,0,0,-0.489583,0.3,0.172222,0.0207253,0.216162,0.0028963,0.431629,0.00457716,0.264198,0.555556,0.237778,0.019758,0,0,0.0285714,0.398752,0.294323,0.0133738,0.381966,0.916667,0.87377,0.0309455,0.917808,0.109589,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5411,10,-61.1695,23.5418,1,10.692,-4.15787,-0.0905648,-1.83979
0.488889,0.0153086,0.517778,0.000858162,0.293333,0.0364,0.0687831,0.1,0.0666667,0.000921425,0.069697,0.000289171,0.658764,0.00425163,0.17037,0.333333,0.153333,0.0058716,0.0833333,0.00952381,0.385714,0.514281,0.30426,0.00742597,2.04613,0.582011,1.08128,0.0113349,1,0.0309917,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",5412,10,31.9327,-16.5362,7,7.38467,2.28348,1.84384,-1.15078
0.888889,0.0123457,0.906437,0.000870969,0.906349,0.00220522,-0.264605,0.1,0.0138889,8.08558e-05,0.0277778,1.40203e-05,0.908636,0.00751426,0.123457,0.222222,0.111111,0.00246914,0.708333,0,2.82857,0.570956,0.314617,0.00101638,5.69722,0,0,0,0,0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0]",5413,10,28.7236,-70.5377,4,13.6382,9.37051,-6.3544,-1.69258
