Density (⟨k⟩),Degree Variance,Average Neighbor Degree (⟨kn⟩),Neighbor Degree Variance,Average Clustering Coefficient (⟨C⟩),Clustering Coefficient Variance,Degree Correlation (r),Number of Modules (μ),Average Node Betweenness (⟨wn⟩),Node Betweenness Variance,Average Edge Betweenness (⟨we⟩),Edge Betweenness Variance,Average Closeness (⟨cl⟩),Closeness Variance,Average Path Length (⟨l⟩),Diameter (d),Distance Distribution Mean (⟨dd⟩),Distance Distribution Variance,3-loops (l3),4-Cliques (c4),4-Stars (s4),Graph Energy (G),Average EigenCentrality (⟨eC⟩),EigenCentrality Variance,Algebraic Connectivity (a),Degree Correlation Elasticity (|rmax - rmin|),Rich Club Metric (⟨rc⟩),Rich Club Variance,s-metric/smax,s-metric Elasticity (|smax - smin|),graph_structure,graph_id,node_count,TSNE1,TSNE2,Cluster,DistanceToCentroid,PC1,PC2,PC3
0.4,0.0202469,0.457593,0.00176094,0.35,0.0753889,-0.214076,0.2,0.0888889,0.0074537,0.0950617,0.00173297,0.597669,0.00667388,0.190123,0.333333,0.171111,0.00800494,0.0583333,0.0047619,0.209524,0.48329,0.299352,0.0103887,0.762544,0.686217,0.969528,0.00142706,0.979866,0.0436242,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",5010,10,14.1401,-14.5802,0,13.0346,0.449039,1.20118,0.184647
0.444444,0.0246914,0.523466,0.00740329,0.410476,0.0245116,-0.44,0.2,0.0722222,0.00949246,0.0788889,0.000774623,0.642835,0.00649252,0.175309,0.333333,0.157778,0.00597037,0.0666667,0,0.357143,0.479279,0.305823,0.00647232,1.48773,0.24,0.800619,0.135988,0.96962,0.0303797,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",5011,10,-2.09631,-57.1088,3,14.5302,1.54412,-0.219109,0.609332
0.311111,0.00444444,0.322222,0.00104252,0.0833333,0.0180556,0.188406,0.2,0.141667,0.0125394,0.152381,0.00419137,0.478836,0.00480739,0.237037,0.444444,0.213333,0.0157235,0.00833333,0,0.047619,0.424206,0.299439,0.0103363,0.466825,1.01449,1.02523,0.00127335,0.991803,0.0409836,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5012,10,-10.6529,-30.7013,0,18.0574,-2.13628,1.83655,-2.74477
0.222222,0.0271605,0.411111,0.036406,0.14,0.0919556,-0.503759,0.3,0.163889,0.0630324,0.231111,0.0100938,0.455663,0.0113272,0.25679,0.555556,0.231111,0.0172049,0.00833333,0,0.1,0.346203,0.272602,0.0256882,0.286986,0.350877,1.0162,0.00515475,0.938272,0.17284,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]",5013,10,-38.5877,-29.2791,6,14.8167,-6.04761,-2.99105,4.79461
0.222222,0.00740741,0.274074,0.00300412,0,0,-0.568627,0.4,0.183333,0.0222531,0.246667,0.00290864,0.414504,0.00357541,0.274074,0.555556,0.246667,0.0194025,0,0,0.0142857,0.373051,0.302166,0.00869585,0.366806,1.37255,0.876288,0.0283345,0.892857,0.125,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5014,10,-64.5187,22.4417,1,10.5009,-4.89125,0.269531,-2.58411
0.266667,0.0128395,0.322963,0.00602963,0.286667,0.166267,-0.188679,0.3,0.152778,0.0373843,0.185185,0.00918381,0.462159,0.00647136,0.246914,0.444444,0.222222,0.0153086,0.0166667,0,0.0571429,0.409802,0.271264,0.0264159,0.43665,0.566038,1.01754,0.000615574,0.978947,0.105263,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",5015,10,-35.3344,4.93334,9,17.5796,-4.29086,-0.249418,0.5432
0.311111,0.0118519,0.365556,0.00712222,0.0833333,0.0180556,-0.435897,0.2,0.119444,0.0146141,0.139683,0.00191757,0.520318,0.00511811,0.217284,0.444444,0.195556,0.0111407,0.00833333,0,0.0809524,0.413523,0.30022,0.00986793,0.756539,0.538462,0.745098,0.185121,0.956204,0.0656934,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5016,10,-11.0222,-54.2988,3,5.2846,-1.66643,-0.304625,-1.21176
0.422222,0.0241975,0.501799,0.0070059,0.448571,0.072058,-0.391941,0.2,0.0777778,0.0104576,0.0853801,0.000910366,0.625379,0.00617176,0.180247,0.333333,0.162222,0.00652346,0.0666667,0,0.3,0.466451,0.301521,0.00908484,1.32935,0.440781,0.78067,0.153453,0.962857,0.0542857,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",5017,10,-4.4623,-57.5348,3,12.3409,0.800786,-0.215065,0.653459
0.288889,0.0251852,0.408333,0.0138966,0.33,0.162322,-0.339912,0.3,0.133333,0.0447608,0.158974,0.00671196,0.502981,0.0109293,0.22963,0.444444,0.206667,0.0128444,0.025,0,0.12381,0.417351,0.281676,0.0206587,0.462533,0.513158,1.05368,0.0130059,0.951389,0.125,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0]",5018,10,-17.4899,9.07577,9,14.0819,-3.52007,-0.889494,3.07468
0.222222,0.0123457,0.316667,0.00929012,0,0,-0.619048,0.4,0.177778,0.0551235,0.242222,0.0143654,0.427187,0.00702561,0.269136,0.444444,0.242222,0.0186123,0,0,0.0285714,0.356643,0.295314,0.0127899,0.242096,1.14286,1.01133,0.00203935,0.861538,0.184615,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5019,10,-74.7847,12.6141,1,14.6536,-5.78183,-1.11119,-0.477935
